#name_w_spin,metal,ox,spin,B3LYP/SVP,B3LYP/TZVP,B3LYP/QZVP,CBS,PWPB95,CASPT2/CC
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide_cyanide,co,3,3,22.58810096,20.39344749,21.84736933,22.11958847,20.84148963,22.52196141
co_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_fluoride_fluoride,co,3,3,0.892877704,4.20494451,3.751374007,3.642766595,4.59651075,8.64206772
cr_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_misc_misc,cr,2,3,-29.03949362,-28.4952291,-28.49302654,-28.49640482,-28.31199618,-27.48870306
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_ammonia,cr,2,3,-28.5204801,-27.56588679,-27.62014758,-27.63478418,-27.48368298,-22.57090719
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_cyanide,cr,2,3,-22.78190743,-22.47552567,-22.54929575,-22.56199245,-21.41440626,-22.02371847
cr_2_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,cr,2,3,-24.36038373,-23.90750349,-23.99219851,-24.00733601,-23.7010527,-24.8995968
cr_2_misc_misc_misc_misc_misc_misc,cr,2,3,-24.93837692,-24.57580164,-24.59079285,-24.59588931,-23.44502862,-21.78902973
fe_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,fe,2,3,13.98792581,13.29568188,12.8564186,12.77952996,12.56965281,14.78664564
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_chloride_chloride,fe,2,3,21.96309473,21.9126492,21.32199286,21.21218432,23.30383887,39.91214604
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_cyanide_cyanide,fe,2,3,57.72508416,56.55998634,55.88321681,55.78478662,53.52785802,68.74874058
fe_2_carbonyl_carbonyl_carbonyl_carbonyl_hydrogensulfide_hydrogensulfide,fe,2,3,23.70909738,25.51769415,25.0045855,24.88998989,27.36069102,36.86119242
fe_2_misc_misc_misc_misc_misc_acetonitrile,fe,2,3,33.81805757,33.13378302,32.62171603,32.53629907,35.10039936,48.37976598
fe_2_misc_misc_misc_misc_misc_carbonyl,fe,2,3,43.30255119,42.97251231,42.4744137,42.39081983,46.79279319,58.46636172
fe_2_misc_misc_misc_misc_misc_cyanide,fe,2,3,42.51859668,41.86934973,41.3060089,41.21231899,47.01242169,60.5609901
fe_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_cyanide,fe,3,4,2.14860679,2.43097374,2.451612544,2.453325234,6.23870442,8.76254964
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_acetonitrile,fe,3,4,20.9633207,20.86219746,20.36547309,20.28728027,19.21310118,26.32906458
fe_3_carbonyl_carbonyl_carbonyl_carbonyl_fluoride_fluoride,fe,3,4,-2.083609304,-1.21485936,-2.437782224,-2.639857573,-5.44302174,1.10943768
fe_3_misc_misc_misc_misc_acetonitrile_acetonitrile,fe,3,4,15.02415818,14.42268984,14.23107339,14.20110435,14.05559649,17.50313643
fe_3_misc_misc_misc_misc_water_water,fe,3,4,2.873493792,0.93310737,0.932919117,0.949822701,0.65574795,1.9390059
mn_2_acetonitrile_acetonitrile_acetonitrile_acetonitrile_water_water,mn,2,4,1.915574677,1.71372981,1.551047843,1.521665301,-2.35002495,-2.47991952
mn_2_carbonyl_carbonyl_carbonyl_carbonyl_phosphine_phosphine,mn,2,4,23.49432581,23.53476255,23.05567122,22.96425694,22.84324653,31.81287447
mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_ammonia,mn,3,3,-37.6038505,-37.23205083,-35.31941918,-34.95948029,-35.95820553,-35.86533405
mn_3_acetonitrile_acetonitrile_acetonitrile_acetonitrile_acetonitrile_carbonyl,mn,3,3,-32.93917962,-32.66252301,-32.86267987,-32.89879745,-34.42331607,-33.9420159
mn_3_carbonyl_carbonyl_carbonyl_carbonyl_carbonyl_fluoride,mn,3,3,-33.75521245,-33.25803,-33.38749159,-33.40957142,-32.20130316,-33.18210129
mn_3_misc_misc_misc_misc_acetonitrile_acetonitrile,mn,3,3,-34.13911679,-33.89495265,-34.0880312,-34.12346595,-34.8456303,-32.56902402
mn_3_misc_misc_misc_misc_misc_misc,mn,3,3,-33.01992133,-32.49497784,-32.65258953,-32.68356233,-33.10429005,-30.59048499
